SpeciesCode,Scientific_name,Code_1990,Code_2000
ANEMON,Anemones (generic),OTHANI,ANTELS
ANTELS,Anthopleura elegantissima/sola,OTHANI,ANTELS
ANTSPP,Anthopleura species,OTHANI,ANTELS
ARTCOR,Articulated corallines,OTHPLA,ARTCOR
BARESUB,Bare substrate,BARESUB,NOMATCH
CAUUST,Caulacanthus ustulatus,OTHPLA,OTHRED
CENSPP,Centroceras spp,OTHPLA,OTHRED
CHITON,Chiton,OTHANI,OTHINV
CHOCAN,Chondracanthus canaliculatus,OTHPLA,CHOCAN
CHOSPI,Chondracanthus spinosa,OTHPLA,OTHRED
CHTBAL,Balanus/Chthamalus,CHTBAL,CHTBAL
CLACOL,Cladophora columbiana,OTHPLA,CLACOL
COLPOM,Colpomenia,OTHPLA,OTHBRO
CRUCOR,Crustose corallines,OTHPLA,CRUCOR
DEABAL,Dead Balanus glandula,CHTBAL,CHTBAL
DEACHT,Dead Chthamalus dalli; fissus,CHTBAL,CHTBAL
DEAINV,Other dead invertebrate,OTHANI,OTHINV
DEAMCA,Dead Mytilus californianus,OTHANI,MYTCAL
DEAMTR,Dead Mytilus trossulus; galloprovincialis; edulis,OTHANI,OTHINV
DEATET,Dead tetraclita,TETRUB,TETRUB
EGRMEN,Egregia menziesii,OTHPLA,EGRMEN
EISARB,Eisenia arborea,OTHPLA,OTHBRO
ENDMUR,Endocladia muricata,OTHPLA,ENDMUR
ENDPET,Endarachne / Petalonia,OTHPLA,ENDPET
FUCGAR,Fucus gardneri,OTHPLA,FUCGAR
GASTRO,Gastroclonium species,OTHPLA,OTHRED
GELSPP,Gelidium species,OTHPLA,OTHRED
HALCYS,Halidrys dioica/Cystoseira spp,OTHPLA,HALCYS
HESCAL,Hesperophycus californica,OTHPLA,HESCAL
LAUSPP,Laurencia,OTHPLA,OTHRED
LIMPET,Limpet,OTHANI,LIMPET
LOTGIG,Lottia gigantea,OTHANI,LOTGIG
MASPAP,Mastocarpus papillatus,OTHPLA,MASPAP
MAZAFF,Mazzaella affinis,OTHPLA,MAZAFF
MAZSPP,Mazzaella spp,OTHPLA,OTHRED
MEXLUG,Mexacanthina lugubris,OTHANI,MEXLUG
MUSSEL,Mussel,MUSSEL,MYTCAL
MYTCAL,Mytilus californianus,MUSSEL,MYTCAL
NONCRU,Non-coralline crust,OTHPLA,NONCRU
OSMSPP,Osmundea species,OTHPLA,OTHRED
OTHANI,Misc animal,OTHANI,OTHINV
OTHBAR,Other barnacles,OTHANI,OTHINV
OTHBRO,Other brown algae,OTHPLA,OTHBRO
OTHGRE,Other green algae,OTHPLA,OTHGRE
OTHINV,Other invertebrates,OTHANI,OTHINV
OTHPLA,Other plants,OTHPLA,OTHPLALG
OTHPLALG,Other plants/Algae,OTHPLA,OTHPLALG
OTHRED,Other red algae,OTHPLA,OTHRED
OTHSUB,Other substrate,BARESUB,OTHER
PELCOM,Pelvetia compressa,SILCOM,SILCOM
PELLIM,Pelvetiopsis limitata,OTHPLA,PELLIM
PHRCAL,Phragmatopoma californica,OTHANI,PHRCAL
PHYOVR,Phyllospadix scouleri/torreyi,OTHPLA,PHYOVR
PISOCH,Pisaster ochraceus,OTHANI,PISOCH
POLPOL,Pollicipes polymerus,POLPOL,POLPOL
PORSPP,Porphyra spp,OTHPLA,PORSPP
REDTF,Red algal turf,OTHPLA,OTHRED
ROCK,Bare rock,BARESUB,ROCK
SAND,Sand,BARESUB,SAND
SARMUT,Sargassum muticum,OTHPLA,SARMUT
SCYSPP,Scytosiphon spp,OTHPLA,SCYSPP
SILCOM,Silvetia compressa,SILCOM,SILCOM
STEDIO,Stephanocystis dioica,OTHPLA,HALCYS
TAR,Tar,BARESUB,TAR
TETRUB,Tetraclita rubescens,TETRUB,TETRUB
TURF,Turf low filamentous,OTHPLA,OTHRED
ULVENT,Ulva/Enteromorpha,OTHPLA,ULVENT
ULVSPP,Ulva spp,OTHPLA,ULVENT
UNIALG,Unidentified algae,OTHPLA,NOMATCH
UNIDEN,Unidentified,NOMATCH,NOMATCH
UNIINV,Unidentified invertebrates,NOMATCH,NOMATCH
UNSCORE,Unscorable,NOMATCH,NOMATCH
UNSCOREALGAE,Unscorable,NOMATCH,NOMATCH
UNSCOREROCK,Unscorable,NOMATCH,NOMATCH
UNSCORESHADOW,Unscorable,NOMATCH,NOMATCH
UNSCORESHOE,Unscorable,NOMATCH,NOMATCH
NOMATCH,No match,NOMATCH,NOMATCH
ROCKZSPAR,No match,NOMATCH,NOMATCH
ROCKBOLT,No match,NOMATCH,NOMATCH
STESPP,Stephanocystis spp,OTHPLA,HALCYS
